"","level","Overall","Non-AH","AH","p","test","Missing"
"listed_transplant (%)","0","161 (66.5)","110 (59.8)","51 (87.9)","<0.001","","0.0"
"","1","81 (33.5)","74 (40.2)","7 (12.1)","","",""
"transplant_lt (%)","0","172 (71.1)","121 (65.8)","51 (87.9)","0.012","","0.0"
"","1","43 (17.8)","39 (21.2)","4 (6.9)","","",""
"","2","22 (9.1)","19 (10.3)","3 (5.2)","","",""
"","3","5 (2.1)","5 (2.7)","0 (0.0)","","",""
"any_ae (%)","0","200 (82.6)","154 (83.7)","46 (79.3)","0.569","","0.0"
"","1","42 (17.4)","30 (16.3)","12 (20.7)","","",""
"disposition (%)","1","124 (51.2)","102 (55.4)","22 (37.9)","0.029","","0.0"
"","2","23 (9.5)","19 (10.3)","4 (6.9)","","",""
"","3","19 (7.9)","12 (6.5)","7 (12.1)","","",""
"","4","25 (10.3)","14 (7.6)","11 (19.0)","","",""
"","5","51 (21.1)","37 (20.1)","14 (24.1)","","",""
"transplant_slkt (%)","0","225 (93.0)","170 (92.4)","55 (94.8)","0.735","","0.0"
"","1","17 (7.0)","14 (7.6)","3 (5.2)","","",""
